Url,Title,Country,City,IP,Port,Server,Protocol
183.63.135.148:8088,YONYOU NC,China,Guangzhou,183.63.135.148,8088,Apache-Coyote/1.1,
47.96.139.229:8088,Yonyou NC,China,,47.96.139.229,8088,Apache-Coyote/1.1,
220.171.142.53:9010,YONYOU NC,China,,220.171.142.53,9010,IBM_HTTP_Server,
220.171.142.62:9010,YONYOU NC,China,,220.171.142.62,9010,Apache-Coyote/1.1,
61.178.55.107:9080,Yonyou NC,China,Lanzhou,61.178.55.107,9080,Apache-Coyote/1.1,
1.58.51.165:7777,Yonyou NC,China,Harbin,1.58.51.165,7777,Apache-Coyote/1.1,
58.244.189.230:9080,Yonyou NC,China,Changchun,58.244.189.230,9080,Apache-Coyote/1.1,
120.133.27.96:8083,YONYOU NC,China,,120.133.27.96,8083,Apache-Coyote/1.1,
58.19.180.6:88,YONYOU NC,China,,58.19.180.6,88,Apache-Coyote/1.1,
47.102.110.232:8088,Yonyou NC,China,,47.102.110.232,8088,Apache-Coyote/1.1,
183.134.216.130:8080,YONYOU NC,China,Hangzhou,183.134.216.130,8080,IBM_HTTP_Server,
202.110.234.34:8088,Yonyou UAP,China,,202.110.234.34,8088,Apache-Coyote/1.1,
113.201.71.118:8686,YONYOU NC,China,Xianyang,113.201.71.118,8686,Apache-Coyote/1.1,
222.184.237.181:8888,YONYOU NC,China,Changzhou,222.184.237.181,8888,Apache-Coyote/1.1,
221.228.101.107:8088,Yonyou NC,China,,221.228.101.107,8088,Apache-Coyote/1.1,
61.177.61.94:18081,YONYOU NC,China,Chengxiang,61.177.61.94,18081,Apache-Coyote/1.1,
47.110.71.126:9090,YONYOU NC,China,,47.110.71.126,9090,Apache-Coyote/1.1,
220.168.30.183:88,Yonyou NC,China,,220.168.30.183,88,Apache-Coyote/1.1,
47.94.86.148:9080,YONYOU NC,China,,47.94.86.148,9080,WebSphere Application Server/8.5,
47.115.9.36:8000,YONYOU NC,China,,47.115.9.36,8000,Apache-Coyote/1.1,
222.178.217.118:8090,Yonyou New Century,China,Chongqing,222.178.217.118,8090,Apache-Coyote/1.1,
61.183.218.94:18081,YONYOU NC,China,Wuhan,61.183.218.94,18081,Apache-Coyote/1.1,
112.93.131.11,YONYOU NC,China,Dongguan,112.93.131.11,80,IBM_HTTP_Server,
58.246.246.38:5050,YONYOU NC,China,Shanghai,58.246.246.38,5050,Apache-Coyote/1.1,
221.181.177.251,YONYOU NC,China,Yangzhou,221.181.177.251,80,IBM_HTTP_Server,
120.25.245.71:8088,Yonyou NC,China,,120.25.245.71,8088,Apache-Coyote/1.1,
122.112.203.229:8080,Yonyou UAP,China,,122.112.203.229,8080,Apache-Coyote/1.1,
116.63.178.75:8888,YONYOU NC,China,,116.63.178.75,8888,Apache-Coyote/1.1,
222.180.198.126:7777,YONYOU NC,China,Chongqing,222.180.198.126,7777,Apache-Coyote/1.1,
112.67.252.42:9010,YONYOU NC,China,Qionghai,112.67.252.42,9010,Apache-Coyote/1.1,
123.138.75.146:8002,Yonyou NC,China,Xi'an,123.138.75.146,8002,Apache-Coyote/1.1,
110.19.108.124:6565,YONYOU NC,China,,110.19.108.124,6565,Apache-Coyote/1.1,
https://139.196.224.137:9443,YONYOU NC,China,,139.196.224.137,9443,WebSphere Application Server/8.5,
59.46.77.46:8088,YONYOU NC,China,Shenyang,59.46.77.46,8088,Apache-Coyote/1.1,
58.216.159.86:8888,用户登录,China,Changzhou,58.216.159.86,8888,,
222.240.241.218:9999,YONYOU NC,China,Changsha,222.240.241.218,9999,Apache-Coyote/1.1,
61.178.74.240:9080,YONYOU NC,China,Lanzhou,61.178.74.240,9080,Apache-Coyote/1.1,
